District code,State name,District name,Population
1,Bihar,Patna,5838465
2,Bihar,Gaya,4391418
3,Delhi,New Delhi,142004
4,Maharashtra,Mumbai,3085411
5,Maharashtra,Pune,9429408
6,Uttar Pradesh,Lucknow,4589838
7,Uttar Pradesh,Kanpur,4581268
